"Recently Viewed","Visto recientemente"
"Bestsellers","Los más vendidos"
"Featured Products","Productos destacados"
"New Products","Nuevos Productos"
"Popular Products","Productos populares"
"Random Products","Productos al azar"
"Special Products","Productos Especiales"
"Recent Reviews","Comentarios recientes"
"Highlight: Attribute Date Filter","Destacar: filtro de atributo de citas"
"Example: news_from_date,news_to_date","Ejemplo: noticias_de_fecha, noticias_para_fecha"
"Date Attribute","Fecha Atributo"
"Grid Template","Plantilla de cuadrícula"
"List Template","Plantilla de la lista"
"Sidebar Grid Template","Plantilla de la cuadricula del recuadro"
"Sidebar List Template","Plantilla de la lista del recuadro"
"Custom Template","Plantilla Personalizada"
"Path to the template. Example: tm/highlight/product/grid.phtml<br/>Works only when previous option is set to 'Custom Template'","Ruta de acceso a la plantilla. Ejemplo: tm/highlight/product/grid.phtml<br/> Funciona solamente cuando la opción anterior se establece en "" Plantilla personalizada'"
"Block Class Name","Bloquear Nombre de clase"
"Category Filter","Categoría de filtro"
"Example: 10,15,current - Products from category 10 or 15 or active category","Ejemplo: 10,15, actuales - Productos de la categoría 10, 15 o categoría activa"
"Price Filter","Precio del filtro"
"Example: 100,200 - Products with price between 100 and 200","Ejemplo: 100200 - Productos con precios entre 100 y 200"
"Highlight: Attribute Yes/No Filter","Destacar: Atributo Sí / No del filtro"
"Example: featured","Ejemplo: destacado"
"Yes/No Attribute","Sí / No Atribuir"
"Highlight: Bestseller Products","Destacar: Productos mejor vendidos"
"Highlight: Featured Product","Destacar: Productos Destacados"
"Highlight: New Products","Destacar: productos nuevos"
"Highlight: Popular Products (Most Viewed)","Destacar: Productos populares (más vistos)"
"Highlight: Random Products","Destacar: productos aleatorios"
"Highlight: Recently Reviewed Products","Destacar: Productos recientemente revisados "
"Highlight: Recently Viewed Products","Destacar: Productos vistos recientemente"
"Highlight: Special Products","Destacar: Productos Especiales"
"Product Type Filter","Tipo de filtro del producto"
"Example: simple,bundle - Show only simple and bundle products","Ejemplo: simple, paquetes - Mostrar sólo productos simples y paquete"
