"Add Menu","voeg Menu toe"
"New Menu","Nieuw Menu"
"Add New Column","Voeg Nieuwe Kolom toe"
"Add New Sibling","Voeg nieuwe Sibling toe"
"Dropdown Content","Uitklappen Inhoud"
"Dropdown top content","Uitklappen hoogste inhoud"
"Dropdown bottom content","Uitklappen onderste inhoud"
"Display in navigation","Display in navigatie"
"Useful, if you want to make 'Catalog' menu item with list of all categories in dropdown.","Nuttig indien je een ´Catalogus´ Menu wil maken met een uitklapbare lijst van alle categorieen."
"Top Level Categories Options (See the 'Submenu global preferences' tab to setup nested levels)","Hoogste Level Categorieen Opties (Zie het 'Submenu globale voorkeuren' tab om geneste levels op te zetten)"
"Set this value to max level count, to use menu as fully expanded menu without dropdowns (100 - whould be enough)","zet deze waarde naar max level telling, om het menu te gebruiken als volledig uitgebreid menu zonder uit te klappen (100 - zou genoeg zijn)"
"Style","Stijl"
"Menu Data","Menu Data"
"Siblings","Broers en zussen"
"Submenu global preferences","Submenu globale voorkeuren"
"Dropdown columns","Uitklapbare kolommen"
"Manage Menu","Beheer Menu"
"The menu has been deleted.","Het menu werd gewist"
"An error occurred while trying to delete the menu.","Er deed zich een fout voor tijdens het wissen van het menu."
"Navigation Pro","Navigation Pro"
"Top","Bovenaan"
"Menu","Menu"
"Dropdown Side","Uitklapbare zijde"
"Left","Links"
"Right","Rechts"
"Use Parent Menu Preferences","Gebruik Parent Menu Voorkeuren"
"Use Root Menu Preferences","Gebruik Root Menu Voorkeuren"
"Custom","Gebruikelijk"
"Horizontal","Horizontaal"
"Vertical","Verticaal"
"Dropdown","Uitklappen"
"Accordion","Accordion"
"Subcategories","Subcategorieen"
"Layered Navigation","Gelaagde Navigatie"
"Widget or Plain Html","Widget or Plain Html"
"Navigation","Navigatie"
"Are you sure you want to delete this menu?","Ben je zeker dat je dit menu wil wissen?"
"Mode","Modus"
"Columns","Kolommen"
"Width, px","Breedte, px"
"Per column for subcategories type","Per Kolom voor type subcategorie"
"Columns Count","Telling Kolommen"
"Show Detailed Configuration","Laat gedetailleerde configuratie zien"
"Levels Per Dropdown","Niveaus volgens uitklappen"
"Levels to Load","Te laden niveaus"
"Items Direction","Richting Items"
"Affects, when columns count is more than one. Otherwise, you will not see the difference","Heeft effect wanneer er meer dan een kolommen zijn. Anders zul je het verschil niet zien."
"Max items count to show per column","Max items telling te zien per kolom"
"Leave empty, to show all items","Laat leeg om alle items te kunnen laten zien"
"Css Id","Css Id"
"Css Class","Css Class"
"Css Styles","Css Styles"
"Use value below 0, to insert item before category","Gebruik een waarde onder 0, om het item voor de categorie te kunnen plaatsen"
"Dropdown css styles","Uitklappen css stijlen"
"Example","Voorbeeld"
