"Recently Viewed","Visualizado Recentemente"
"Bestsellers","Mais vendidos"
"Featured Products","Produtos em destaque"
"New Products","Novos Produtos"
"Popular Products","Produtos Populares"
"Random Products","Produtos Aleatórios"
"Special Products","Produtos Especiais"
"Recent Reviews","Comentários recentes"
"Highlight: Attribute Date Filter","Destaque: Filtro de data de atributo"
"Example: news_from_date,news_to_date","Exemplo: notícias_da_data,notícias_até_data"
"Date Attribute","Atributo de Data"
"Grid Template","Modelo de grade"
"List Template","Modelo de lista"
"Sidebar Grid Template","Modelo de Grade Sidebar"
"Sidebar List Template","Modelo de lista de Sidebar"
"Custom Template","Modelo personalizado"
"Path to the template. Example: tm/highlight/product/grid.phtml<br/>Works only when previous option is set to 'Custom Template'","Caminho para o modelo. Exemplo: tm/highlight/product/grid.phtml <br/> funciona somente quando a opção anterior é definida como 'Modelo Personalizado'"
"Block Class Name","Bloco Classe Nome"
"Category Filter","Filtro de categoria"
"Example: 10,15,current - Products from category 10 or 15 or active category","Exemplo: 10,15, atual - produtos da categoria 10 ou 15 ou categoria ativa"
"Price Filter","Filtro de preço"
"Example: 100,200 - Products with price between 100 and 200","Exemplo: 100,200 - produtos com preço entre 100 e 200"
"Highlight: Attribute Yes/No Filter","Destaque: Atributo Sim/Não Filtro"
"Example: featured","Exemplo: destaque"
"Yes/No Attribute","Sim/Não Atributo"
"Highlight: Bestseller Products","Destaque: Produtos Mais Vendidos"
"Highlight: Featured Product","Destaque: Produto em destaque"
"Highlight: New Products","Destaque: Novos Produtos"
"Highlight: Popular Products (Most Viewed)","Destaque: Produtos populares (Mais Vistos)"
"Highlight: Random Products","Destaque: Produtos aleatórios"
"Highlight: Recently Reviewed Products","Destaque: Produtos Revisados Recentemente"
"Highlight: Recently Viewed Products","Destaque: Produtos Visualizados Recentemente"
"Highlight: Special Products","Destaque: Produtos especiais"
"Product Type Filter","Filtro do tipo de produto"
"Example: simple,bundle - Show only simple and bundle products","Exemplo: simples, bundle - mostrar apenas simples e pacote de produtos"
