"Recently Viewed","Visualizzato di Recente"
"Bestsellers","Bestsellers"
"Featured Products","Prodotti in Evidenza"
"New Products","Nuovi Prodotti"
"Popular Products","Prodotti Popolari"
"Random Products","Prodotti Casuali"
"Special Products","Prodotti SPeciali"
"Recent Reviews","Recensioni Recenti"
"Highlight: Attribute Date Filter","Evidenzia: Filtro Data Attributo"
"Example: news_from_date,news_to_date","Esempio: news_da_data,news_a_data"
"Date Attribute","Attributo Data"
"Grid Template","Template Griglia"
"List Template","Template Lista"
"Sidebar Grid Template","Template Griglia Sidebar"
"Sidebar List Template","Template Lista Sidebar"
"Custom Template","Template Personalizzato"
"Path to the template. Example: tm/highlight/product/grid.phtml<br/>Works only when previous option is set to 'Custom Template'","Percorso per il template: Esempio: tm/highlight/product/grid.phtml<br/>Funziona solo quando l'opzione precedente è impostata su 'Template Personalizzato'"
"Block Class Name","Nome Classe Blocco"
"Category Filter","Filtro Categoria"
"Example: 10,15,current - Products from category 10 or 15 or active category","Esempio: 10,15,attuale - Prodiotti dalla categoria 10 o 15 o dalla categoria attiva"
"Price Filter","Filtro Prezzi"
"Example: 100,200 - Products with price between 100 and 200","Esempio: 100,200 - Prodotti con prezzi compresi tra 100 e 200"
"Highlight: Attribute Yes/No Filter","Evidenzia: Filtro Attributo Si/no"
"Example: featured","Esempio: in evidenza"
"Yes/No Attribute","Attributo Si/no"
"Highlight: Bestseller Products","Evidenzia: Prodotti Bestseller"
"Highlight: Featured Product","Evidenzia: Prodotto in Evidenza"
"Highlight: New Products","Evidenzia: Nuovi Prodotti"
"Highlight: Popular Products (Most Viewed)","Evidenzia: Prodotti Popolari (Più Visti)"
"Highlight: Random Products","Evidenzia: Prodotti Casuali"
"Highlight: Recently Reviewed Products","Evidenzia: Prodotti Recensiti di Recente"
"Highlight: Recently Viewed Products","Evidenzia: Prodotti Visualizzati di Recente"
"Highlight: Special Products","Evidenzia: Prodotti Speciali"
"Product Type Filter","Filtro Tipo Prodotto"
"Example: simple,bundle - Show only simple and bundle products","Esempio: semplice,bundle - Mostra solo prodotti semplici e in bundle"
