"Action","Actie"
"Add Answer","Voeg antwoord toe"
"Add Answers","Voeg Antwoorden toe"
"Add Item","Voeg item toe"
"Add New Answer","Voeg nieuw antwoord toe"
"Add New Question","Voeg nieuwe vraag toe"
"Allow customers comment","Laat commentaar van klanten toe"
"Allow customer vote","Laat stem van klanten toe"
"Allow guest to ask questions","Laat een gast toe om vragen te stellen"
"Allow vote","Laat stemmen toe"
"Answer","Antwoord"
"Answer information","Antwoord informatie"
"Answers:","Antwoorden:"
"Answers","Antwoorden"
"Approved","Goedgekeurd"
"Are you sure?","Ben je zeker?"
"Ask a question and Give an answer. Help your fellow customer.","Stel een vraag en geef een antwoord. Help je medeklant."
"Ask a Question","Stel een vraag"
"Ask a question","Stel een vraag"
"Ask a question (%d)","Stel een vraag (%d)"
"Ask Information","Vraag Informatie"
"AskIt","AskIt"
"Askit Product Questions ","Askit Product Vragen"
"Ask Your Question","Stel je vraag"
"Be the first to ask a question about this product","Wees de eerste om een vraag te stellen over dit product"
"Can you answer these question?","Kun je de vraag beantwoorden?"
"Category","Categorie"
"Category Questions – %s","Categorie Vragen  – %s"
"Change status","Verander status"
"Close","Sluit"
"Closed","Gesloten"
"Cms Page Questions – %s","Cms Pagina Vragen – %s"
"Count Answers","Tel antwoorden"
"Count question show on product page","Tel vraag laat zien op de product pagina"
"Create date","Creeer datum"
"CSV","CSV"
"Customer","Klant"
"Default comment status","Standaard commentaar status"
"Default question status","Default question status"
"Delete","Wis"
"Delete Item","Wis Item"
"Delete Question","Wis vraag"
"Disapprowed","Afgekeurd"
"Do you have same question?","Heb je dezelfde vraag?"
"Edit Answer '%s","Bewerk Antwoord '%s"
"Edit","Bewerk"
"Edit Item '%s","Bewerk Item '%s"
"Email and Name required","Email en Naam noodzakelijk"
"Email","Email"
"Email Sender","Email Verzender"
"Email template (admin notification)","Email template (admin notificatie)"
"Email template (customer notification)","Email template (klant notificatie)"
"Enable admin notification","Mogelijk maken admin notificatie"
"Enable AskIt","Toestaan AskIt"
"Enable customer notification","Maak klanten notificatie mogelijk"
"Enable RSS Feed","Mogelijk maken RSS Feed"
"General","Algemeen"
"Go to Question","Ga naar vraag"
"Go to Related Item","Ga naar gerelateerd Item"
"Have a question?","Is er een vraag?"
"Hint","Hint"
"ID","ID"
"Item does not exist","Item bestaat niet"
"Item information","Item informatie"
"Item","Item"
"Item Name","Item Naam"
"Item News","Item Nieuws"
"Item Type","Item Type"
"Item was successfully deleted","Item werd met succes gewist"
"Item was successfully saved","Item werd met succes bewaard"
"Leave a Reply","Laat een antwoord na"
"login","login"
"Name","Naam"
"Not Answerred","Niet beantwoord"
"Number of question to show on product page","Aantal vragen om te laten zien op de product pagina"
"New %ss question was posted : %s","Nieuwe %ss vraag werd geplaatst : %s"
"Page","Pagina"
"Parent Id","Parent Id"
"Pending","Hangend"
"Please select item(s)","Gelieve items te selecteren"
"Please %s to your account to post a question","Gelieve %s naar je account om een vraag te posten"
"Post a private question","Post een private vraag"
"Posted by","Gepost door"
"Posted by %s on %s","Gepost door %s op %"
"Posted by %s, %s on %s"," %s on %s"
"Private","Privé"
"Product Id","Product Id"
"Product Name","Product Naam"
"Product","Product"
"Product Questions – %s","Product Vragen – %s"
"Product Questions:","Product Vragen:"
"Product Questions","Product Vragen"
"%ss question was updated : %s","%ss Vraag werd geupdatet : %s"
"Public","Publiek"
"Query","Query"
"Question Manager","Vraag beheerder"
"Question:","Vraag:"
"Question","Vraag"
"Questions Manager","Vraag beheerder"
"Questions:","Vragen:"
"Recent questions","Recente vragen"
"* Required Fields","* Noodzakelijke velden"
"Return back to the product page","Keer terug naar de productpagina"
"Rss Feed Title","Rss Feed Titel"
"Save Item","Bewaar Item"
"Save Question","Bewaar Vraag"
"Send admin notification to","Verzend admin notificatie aan "
"Share customer name on frontend","Deel klantnaam op frontend"
"Show customer name on frontend","Laat klantnaam op frontend zien"
"Show product question as block on product page","Laat vraag over het product als een blok op de product pagina zien"
"Show product question on product page","Laat een vraag over een product op de product pagina zien"
"Sorry, already voted","Sorry, reeds gestemd"
"Sorry, but we think you\'re a spammer.","Sorry, maar we denken dat je een spammer bent"
"Sorry, only logined customer can add self answer.","Sorry, alleen een ingelogde klant kan zelf een antwoord toevoegen"
"Sorry, only logined customer can hint.","Sorry, alleen een ingelogde klant kan een hint geven."
"%s people had same question.","%s mensen hadden dezelfde vraag"
"%s people found this answer helpfull","%s van de mensen vonden dit antwoord nuttig"
"Status","Status"
"Store discussion","Winkel discussie"
"Store View","Store Beeld"
"Text","Tekst"
"There are no product questions yet.","Er zijn nog geen product vragen"
"Total of %d record(s) were successfully updated","Een totaal van %d record(s) werd met succes geupdatet"
"Unable to find item to save","Item om te bewaren kan niet gevonden worden"
"Update date","Update datum"
"View all related questions.","Bekijk alle gerelateerde vragen"
"Vote for It","Stem ervoor"
"Votes","Stemmen"
"Was this Answer Helpful?","Was dit antwoord nuttig?"
"XML","XML"
"Your answer has been accepted","Je antwoord werd aanvaard"
"Your Answer","Je antwoord"
"Your must login","Je moet inloggen"
"Your question has been accepted for moderation","Je vraag werd ter moderatie aanvaard"
