"Recently Viewed","Recent Bekeken"
"Bestsellers","Best verkocht"
"Featured Products","Producten in de kijker"
"New Products","Nieuwe Producten"
"Popular Products","Populaire Producten"
"Random Products","Willekeurige Producten"
"Special Products","Speciale Producten"
"Recent Reviews","Recente Beoordelingen"
"Highlight: Attribute Date Filter","Markeer: Ken Data Filter toe"
"Example: news_from_date,news_to_date","Voorbeeld: niews_van_datum,nieuws_tot_datum"
"Date Attribute","Datum toegekend"
"Grid Template","Template rooster"
"List Template","Template Lijst"
"Sidebar Grid Template","Sidebar Rooster Template"
"Sidebar List Template","Sidebar Template Lijst"
"Custom Template","StandaardTemplate"
"Path to the template. Example: tm/highlight/product/grid.phtml<br/>Works only when previous option is set to 'Custom Template'","Pad naar de template. Voorbeeld: tm/highlight/product/grid.phtml<br/>Werkt alleen wanneer de vorige optie veranderd is naar 'Custom Template'"
"Block Class Name","Blok Klasse Naam"
"Category Filter","Categorie Filter"
"Example: 10,15,current - Products from category 10 or 15 or active category","Voorbeeld: 10,15,huidig - Producten van categorie 10 of 15 of actieve categorie"
"Price Filter","Prijs Filter"
"Example: 100,200 - Products with price between 100 and 200","Voorbeeld: 100,200 - Producten met een prijs tussen 100 en 200"
"Highlight: Attribute Yes/No Filter","Highlight: Ken toe Ja/Nee Filter"
"Example: featured","Voorbeeld: in de kijker"
"Yes/No Attribute","Ja/Nee Toegekend"
"Highlight: Bestseller Products","Highlight: Bestverkopende producten"
"Highlight: Featured Product","Highlight: Product in de kijker"
"Highlight: New Products","Highlight: Nieuwe Producten"
"Highlight: Popular Products (Most Viewed)","Highlight: Populaire Producten (Het meest bekeken)"
"Highlight: Random Products","Highlight: Willekeurige producten"
"Highlight: Recently Reviewed Products","Highlight: Recent besproken producten"
"Highlight: Recently Viewed Products","Highlight: Recent bekeken producten"
"Highlight: Special Products","Highlight: Special Products"
"Product Type Filter","Product Type Filter"
"Example: simple,bundle - Show only simple and bundle products","Voorbeeld: enkel, bundel - Laat alleen enkele en gebundelde producten zien."
